name,name_original,amenity,shop,tourism,@lat,@lon,final_category
Zam Zam Publisher,Zam Zam Publisher,,books,,24.8592494,67.0190238,Shopping & Retail
Meezan Bank Limited,Meezan Bank Limited,atm,,,24.906664,66.9973634,Services
United Bank Limited,یونائیٹڈ بینک لمیٹڈ,bank,,,24.8764826,67.1008233,Services
Meezan Bank Limited SITE Branch,Meezan Bank Limited SITE Branch,bank,,,24.9102459,67.0109264,Services
The Bank of Khyber SITE Branch,The Bank of Khyber SITE Branch,bank,,,24.911412,67.0126172,Services
Chase Up,Chase Up,,supermarket,,24.9170417,67.0965584,Shopping & Retail
Askari Commercial Bank,Askari Commercial Bank,bank,,,24.8849116,67.0694349,Services
Soneri Bank,سونیری بینک,atm,,,24.8383157,67.0491089,Services
Karachi Memon Community Centre,Karachi Memon Community Centre,community_centre,,,24.8694535,67.0745141,Religious & Community
Standard Chartered,اسٹینڈرڈ چارٹرڈ,bank,,,24.8270175,67.0288592,Services
Keamari Head Post Office,کیماڑی ہیڈ پوسٹ آفس,post_office,,,24.8241811,66.9785198,Services
Mustafa,Mustafa,place_of_worship,,,24.947291,67.0263132,Religious & Community
Police Station Clifton,Police Station Clifton,police,,,24.8136295,67.0290316,Services
Noor,Noor,place_of_worship,,,24.9303104,67.0444489,Religious & Community
Jama Cloth Market,Jama Cloth Market,marketplace,,,24.8584177,67.0140248,Shopping & Retail
Chase Value Cenre,Chase Value Cenre,,supermarket,,24.9417082,67.0485755,Shopping & Retail
Masjid Siddiq e Akbar,Masjid Siddiq e Akbar,place_of_worship,,,24.9488832,67.0415095,Religious & Community
Jama Masjid Shafi,Jama Masjid Shafi,place_of_worship,,,24.9465858,67.0401301,Religious & Community
HBL Pakistan,ایچ بی ایل پاکستان,bank,,,24.8543642,67.028436,Services
Khairabad Tea Shop - Irani Cafe,Khairabad Tea Shop - Irani Cafe,cafe,,,24.8507088,67.0185501,Food & Dining
Total,ٹوٹل,fuel,,,24.8530825,67.022541,Transport & Vehicles
Mehdi Lawn,Mehdi Lawn,community_centre,,,24.9499517,67.0534289,Religious & Community
Saima Pari Mall,Saima Pari Mall,,mall,,24.9386061,67.0444542,Shopping & Retail
Pakistan Post,Pakistan Post,post_office,,,24.9354814,67.0419741,Services
Usman Ghani Masjid,مسجد عثمان غنی,place_of_worship,,,24.914814,67.1248935,Religious & Community
786 Medical Store,786 Medical Store,pharmacy,,,24.9132759,67.1241947,Healthcare
Asalam Store,Asalam Store,,yes,,24.9134732,67.1240247,Other / Unspecified
Shanzay Travels,Shanzay Travels,,travel_agency,,24.9127201,67.1257132,Services
MCB Bank,ایم سی بی بینک,bank,,,24.9117043,67.1246341,Services
